Airport.Code,Airport.Name,Time.Label,Time.Month Name,Time.Year,Statistics.# of Delays.Carrier,Statistics.# of Delays.Late Aircraft,Statistics.# of Delays.National Aviation System
SEA,"Seattle, WA: Seattle/Tacoma International",2005/03,March,2005,572,743,456
SFO,"San Francisco, CA: San Francisco International",2005/03,March,2005,714,455,923
SLC,"Salt Lake City, UT: Salt Lake City International",2005/03,March,2005,878,614,820
TPA,"Tampa, FL: Tampa International",2005/03,March,2005,552,775,828
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2005/04,April,2005,1283,1411,2734
BOS,"Boston, MA: Logan International",2005/04,April,2005,499,531,750
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2005/04,April,2005,326,459,310
CLT,"Charlotte, NC: Charlotte Douglas International",2005/04,April,2005,418,382,652
DCA,"Washington, DC: Ronald Reagan Washington National",2005/04,April,2005,424,407,479
DEN,"Denver, CO: Denver International",2005/04,April,2005,627,350,440
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2005/04,April,2005,585,1063,1340
DTW,"Detroit, MI: Detroit Metro Wayne County",2005/04,April,2005,437,479,693
EWR,"Newark, NJ: Newark Liberty International",2005/04,April,2005,369,501,2394
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2005/04,April,2005,299,415,647
IAD,"Washington, DC: Washington Dulles International",2005/04,April,2005,275,517,677
IAH,"Houston, TX: George Bush Intercontinental/Houston",2005/04,April,2005,360,650,1135
JFK,"New York, NY: John F. Kennedy International",2005/04,April,2005,405,500,1077
LAS,"Las Vegas, NV: McCarran International",2005/04,April,2005,547,821,691
LAX,"Los Angeles, CA: Los Angeles International",2005/04,April,2005,852,710,1026
LGA,"New York, NY: LaGuardia",2005/04,April,2005,400,418,1656
MCO,"Orlando, FL: Orlando International",2005/04,April,2005,476,481,581
MDW,"Chicago, IL: Chicago Midway International",2005/04,April,2005,191,359,162
MIA,"Miami, FL: Miami International",2005/04,April,2005,287,235,319
MSP,"Minneapolis, MN: Minneapolis-St Paul International",2005/04,April,2005,436,332,604
ORD,"Chicago, IL: Chicago O'Hare International",2005/04,April,2005,811,980,1900
PDX,"Portland, OR: Portland International",2005/04,April,2005,208,285,132
PHL,"Philadelphia, PA: Philadelphia International",2005/04,April,2005,523,618,1123
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",2005/04,April,2005,594,697,779
SAN,"San Diego, CA: San Diego International",2005/04,April,2005,364,369,343
SEA,"Seattle, WA: Seattle/Tacoma International",2005/04,April,2005,411,582,294
SFO,"San Francisco, CA: San Francisco International",2005/04,April,2005,532,339,563
SLC,"Salt Lake City, UT: Salt Lake City International",2005/04,April,2005,590,382,528
TPA,"Tampa, FL: Tampa International",2005/04,April,2005,321,399,473
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2005/05,May,2005,1201,1195,3134
BOS,"Boston, MA: Logan International",2005/05,May,2005,383,450,1299
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2005/05,May,2005,292,557,263
CLT,"Charlotte, NC: Charlotte Douglas International",2005/05,May,2005,356,370,742
DCA,"Washington, DC: Ronald Reagan Washington National",2005/05,May,2005,365,384,427
DEN,"Denver, CO: Denver International",2005/05,May,2005,764,668,694
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2005/05,May,2005,705,1206,1054
DTW,"Detroit, MI: Detroit Metro Wayne County",2005/05,May,2005,419,401,608
EWR,"Newark, NJ: Newark Liberty International",2005/05,May,2005,329,634,2178
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2005/05,May,2005,304,322,470
IAD,"Washington, DC: Washington Dulles International",2005/05,May,2005,285,649,1049
IAH,"Houston, TX: George Bush Intercontinental/Houston",2005/05,May,2005,409,538,1061
JFK,"New York, NY: John F. Kennedy International",2005/05,May,2005,417,433,645
LAS,"Las Vegas, NV: McCarran International",2005/05,May,2005,664,882,614
LAX,"Los Angeles, CA: Los Angeles International",2005/05,May,2005,1013,801,944
LGA,"New York, NY: LaGuardia",2005/05,May,2005,374,390,1270
MCO,"Orlando, FL: Orlando International",2005/05,May,2005,399,508,510
MDW,"Chicago, IL: Chicago Midway International",2005/05,May,2005,223,426,206
MIA,"Miami, FL: Miami International",2005/05,May,2005,268,266,386
MSP,"Minneapolis, MN: Minneapolis-St Paul International",2005/05,May,2005,459,370,746
ORD,"Chicago, IL: Chicago O'Hare International",2005/05,May,2005,861,1375,2833
PDX,"Portland, OR: Portland International",2005/05,May,2005,297,400,303
PHL,"Philadelphia, PA: Philadelphia International",2005/05,May,2005,417,496,1073
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",2005/05,May,2005,567,778,514
SAN,"San Diego, CA: San Diego International",2005/05,May,2005,411,383,284
SEA,"Seattle, WA: Seattle/Tacoma International",2005/05,May,2005,756,1003,592
SFO,"San Francisco, CA: San Francisco International",2005/05,May,2005,577,438,1158
SLC,"Salt Lake City, UT: Salt Lake City International",2005/05,May,2005,601,371,454
TPA,"Tampa, FL: Tampa International",2005/05,May,2005,294,384,354
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2005/06,June,2005,1686,1920,6892
BOS,"Boston, MA: Logan International",2005/06,June,2005,596,761,1168
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2005/06,June,2005,450,875,635
CLT,"Charlotte, NC: Charlotte Douglas International",2005/06,June,2005,588,730,810
DCA,"Washington, DC: Ronald Reagan Washington National",2005/06,June,2005,470,557,752
DEN,"Denver, CO: Denver International",2005/06,June,2005,1058,1118,993
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2005/06,June,2005,989,1821,1514
DTW,"Detroit, MI: Detroit Metro Wayne County",2005/06,June,2005,620,748,916
EWR,"Newark, NJ: Newark Liberty International",2005/06,June,2005,422,838,3015
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2005/06,June,2005,344,514,763
IAD,"Washington, DC: Washington Dulles International",2005/06,June,2005,425,1040,1392
IAH,"Houston, TX: George Bush Intercontinental/Houston",2005/06,June,2005,509,758,854
JFK,"New York, NY: John F. Kennedy International",2005/06,June,2005,458,751,1336
LAS,"Las Vegas, NV: McCarran International",2005/06,June,2005,873,1313,970
LAX,"Los Angeles, CA: Los Angeles International",2005/06,June,2005,1335,1233,1361
LGA,"New York, NY: LaGuardia",2005/06,June,2005,455,588,1793
MCO,"Orlando, FL: Orlando International",2005/06,June,2005,668,855,804
MDW,"Chicago, IL: Chicago Midway International",2005/06,June,2005,304,674,410
MIA,"Miami, FL: Miami International",2005/06,June,2005,424,451,704
MSP,"Minneapolis, MN: Minneapolis-St Paul International",2005/06,June,2005,752,817,1163
ORD,"Chicago, IL: Chicago O'Hare International",2005/06,June,2005,1374,2329,3726
PDX,"Portland, OR: Portland International",2005/06,June,2005,418,522,289
PHL,"Philadelphia, PA: Philadelphia International",2005/06,June,2005,573,930,1634
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",2005/06,June,2005,743,1086,735
SAN,"San Diego, CA: San Diego International",2005/06,June,2005,573,604,440
SEA,"Seattle, WA: Seattle/Tacoma International",2005/06,June,2005,1034,1342,756
SFO,"San Francisco, CA: San Francisco International",2005/06,June,2005,876,737,1288
SLC,"Salt Lake City, UT: Salt Lake City International",2005/06,June,2005,788,642,670
TPA,"Tampa, FL: Tampa International",2005/06,June,2005,436,561,506
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2005/07,July,2005,1961,2557,8704
BOS,"Boston, MA: Logan International",2005/07,July,2005,643,974,1472
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2005/07,July,2005,543,1083,820
CLT,"Charlotte, NC: Charlotte Douglas International",2005/07,July,2005,758,867,953
DCA,"Washington, DC: Ronald Reagan Washington National",2005/07,July,2005,580,771,984
DEN,"Denver, CO: Denver International",2005/07,July,2005,1195,1141,863
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2005/07,July,2005,1439,3009,2712
DTW,"Detroit, MI: Detroit Metro Wayne County",2005/07,July,2005,776,924,1127
EWR,"Newark, NJ: Newark Liberty International",2005/07,July,2005,541,1234,3446
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2005/07,July,2005,529,696,521
IAD,"Washington, DC: Washington Dulles International",2005/07,July,2005,442,1170,1548
IAH,"Houston, TX: George Bush Intercontinental/Houston",2005/07,July,2005,802,1584,1715
JFK,"New York, NY: John F. Kennedy International",2005/07,July,2005,548,1165,1868
LAS,"Las Vegas, NV: McCarran International",2005/07,July,2005,939,1545,801
LAX,"Los Angeles, CA: Los Angeles International",2005/07,July,2005,1365,1443,942
LGA,"New York, NY: LaGuardia",2005/07,July,2005,530,740,2138
MCO,"Orlando, FL: Orlando International",2005/07,July,2005,794,1043,837
MDW,"Chicago, IL: Chicago Midway International",2005/07,July,2005,404,879,520
MIA,"Miami, FL: Miami International",2005/07,July,2005,471,492,588
MSP,"Minneapolis, MN: Minneapolis-St Paul International",2005/07,July,2005,836,992,983
ORD,"Chicago, IL: Chicago O'Hare International",2005/07,July,2005,1631,2241,3547
PDX,"Portland, OR: Portland International",2005/07,July,2005,428,501,222
PHL,"Philadelphia, PA: Philadelphia International",2005/07,July,2005,687,1167,1875
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",2005/07,July,2005,876,1254,686
SAN,"San Diego, CA: San Diego International",2005/07,July,2005,664,675,359
SEA,"Seattle, WA: Seattle/Tacoma International",2005/07,July,2005,1140,1182,659
SFO,"San Francisco, CA: San Francisco International",2005/07,July,2005,896,723,826
SLC,"Salt Lake City, UT: Salt Lake City International",2005/07,July,2005,809,733,606
TPA,"Tampa, FL: Tampa International",2005/07,July,2005,582,759,568
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2005/08,August,2005,1916,2113,8440
BOS,"Boston, MA: Logan International",2005/08,August,2005,582,688,1643
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2005/08,August,2005,530,908,474
CLT,"Charlotte, NC: Charlotte Douglas International",2005/08,August,2005,535,585,725
DCA,"Washington, DC: Ronald Reagan Washington National",2005/08,August,2005,524,489,570
DEN,"Denver, CO: Denver International",2005/08,August,2005,1013,788,753
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2005/08,August,2005,1205,2313,2199
DTW,"Detroit, MI: Detroit Metro Wayne County",2005/08,August,2005,779,957,810
EWR,"Newark, NJ: Newark Liberty International",2005/08,August,2005,555,1116,2597
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2005/08,August,2005,386,485,459
IAD,"Washington, DC: Washington Dulles International",2005/08,August,2005,393,763,922
IAH,"Houston, TX: George Bush Intercontinental/Houston",2005/08,August,2005,622,1129,1697
JFK,"New York, NY: John F. Kennedy International",2005/08,August,2005,514,801,1213
LAS,"Las Vegas, NV: McCarran International",2005/08,August,2005,910,1293,917
LAX,"Los Angeles, CA: Los Angeles International",2005/08,August,2005,1364,1155,919
LGA,"New York, NY: LaGuardia",2005/08,August,2005,550,626,1757
MCO,"Orlando, FL: Orlando International",2005/08,August,2005,668,768,753
MDW,"Chicago, IL: Chicago Midway International",2005/08,August,2005,345,661,312
MIA,"Miami, FL: Miami International",2005/08,August,2005,363,381,583
MSP,"Minneapolis, MN: Minneapolis-St Paul International",2005/08,August,2005,836,1036,1068
ORD,"Chicago, IL: Chicago O'Hare International",2005/08,August,2005,1273,1663,2422
PDX,"Portland, OR: Portland International",2005/08,August,2005,352,456,204
PHL,"Philadelphia, PA: Philadelphia International",2005/08,August,2005,614,861,950
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",2005/08,August,2005,809,1087,701
SAN,"San Diego, CA: San Diego International",2005/08,August,2005,611,571,388
SEA,"Seattle, WA: Seattle/Tacoma International",2005/08,August,2005,920,982,541
SFO,"San Francisco, CA: San Francisco International",2005/08,August,2005,797,683,1078
SLC,"Salt Lake City, UT: Salt Lake City International",2005/08,August,2005,822,684,602
TPA,"Tampa, FL: Tampa International",2005/08,August,2005,437,564,487
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2005/09,September,2005,1247,977,2374
BOS,"Boston, MA: Logan International",2005/09,September,2005,414,457,1515
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2005/09,September,2005,322,469,177
CLT,"Charlotte, NC: Charlotte Douglas International",2005/09,September,2005,276,284,431
DCA,"Washington, DC: Ronald Reagan Washington National",2005/09,September,2005,302,293,377
DEN,"Denver, CO: Denver International",2005/09,September,2005,611,461,515
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2005/09,September,2005,716,1118,1097
DTW,"Detroit, MI: Detroit Metro Wayne County",2005/09,September,2005,537,549,566
EWR,"Newark, NJ: Newark Liberty International",2005/09,September,2005,353,588,2302
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2005/09,September,2005,228,184,213
IAD,"Washington, DC: Washington Dulles International",2005/09,September,2005,231,357,527
IAH,"Houston, TX: George Bush Intercontinental/Houston",2005/09,September,2005,439,518,947
JFK,"New York, NY: John F. Kennedy International",2005/09,September,2005,323,328,972
LAS,"Las Vegas, NV: McCarran International",2005/09,September,2005,648,947,970
LAX,"Los Angeles, CA: Los Angeles International",2005/09,September,2005,1054,803,1236
LGA,"New York, NY: LaGuardia",2005/09,September,2005,388,375,1306
MCO,"Orlando, FL: Orlando International",2005/09,September,2005,398,323,355
MDW,"Chicago, IL: Chicago Midway International",2005/09,September,2005,253,419,238
MIA,"Miami, FL: Miami International",2005/09,September,2005,279,172,385
MSP,"Minneapolis, MN: Minneapolis-St Paul International",2005/09,September,2005,642,530,907
ORD,"Chicago, IL: Chicago O'Hare International",2005/09,September,2005,830,1262,2500
PDX,"Portland, OR: Portland International",2005/09,September,2005,267,293,131
PHL,"Philadelphia, PA: Philadelphia International",2005/09,September,2005,326,426,716
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",2005/09,September,2005,560,744,584
SAN,"San Diego, CA: San Diego International",2005/09,September,2005,414,419,420
SEA,"Seattle, WA: Seattle/Tacoma International",2005/09,September,2005,549,609,474
SFO,"San Francisco, CA: San Francisco International",2005/09,September,2005,660,417,1084
SLC,"Salt Lake City, UT: Salt Lake City International",2005/09,September,2005,613,432,550
TPA,"Tampa, FL: Tampa International",2005/09,September,2005,294,249,220
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2005/10,October,2005,1288,1402,4520
BOS,"Boston, MA: Logan International",2005/10,October,2005,453,586,1702
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2005/10,October,2005,389,703,305
CLT,"Charlotte, NC: Charlotte Douglas International",2005/10,October,2005,407,434,577
DCA,"Washington, DC: Ronald Reagan Washington National",2005/10,October,2005,382,375,498
DEN,"Denver, CO: Denver International",2005/10,October,2005,706,590,526
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2005/10,October,2005,676,1195,997
DTW,"Detroit, MI: Detroit Metro Wayne County",2005/10,October,2005,535,498,540
EWR,"Newark, NJ: Newark Liberty International",2005/10,October,2005,386,720,3996
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2005/10,October,2005,234,309,318
IAD,"Washington, DC: Washington Dulles International",2005/10,October,2005,317,479,635
IAH,"Houston, TX: George Bush Intercontinental/Houston",2005/10,October,2005,462,604,1094
JFK,"New York, NY: John F. Kennedy International",2005/10,October,2005,376,453,1217
LAS,"Las Vegas, NV: McCarran International",2005/10,October,2005,623,1168,1247
LAX,"Los Angeles, CA: Los Angeles International",2005/10,October,2005,1056,1041,786
LGA,"New York, NY: LaGuardia",2005/10,October,2005,339,394,2329
MCO,"Orlando, FL: Orlando International",2005/10,October,2005,560,553,789
MDW,"Chicago, IL: Chicago Midway International",2005/10,October,2005,297,558,233
MIA,"Miami, FL: Miami International",2005/10,October,2005,302,221,548
MSP,"Minneapolis, MN: Minneapolis-St Paul International",2005/10,October,2005,529,477,561
ORD,"Chicago, IL: Chicago O'Hare International",2005/10,October,2005,985,1101,1368
PDX,"Portland, OR: Portland International",2005/10,October,2005,237,391,260
PHL,"Philadelphia, PA: Philadelphia International",2005/10,October,2005,370,559,1718
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",2005/10,October,2005,632,1002,519
SAN,"San Diego, CA: San Diego International",2005/10,October,2005,478,495,308
SEA,"Seattle, WA: Seattle/Tacoma International",2005/10,October,2005,491,557,527
SFO,"San Francisco, CA: San Francisco International",2005/10,October,2005,676,516,904
SLC,"Salt Lake City, UT: Salt Lake City International",2005/10,October,2005,570,449,372
TPA,"Tampa, FL: Tampa International",2005/10,October,2005,330,383,375
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2005/11,November,2005,1466,1260,4100
BOS,"Boston, MA: Logan International",2005/11,November,2005,482,609,1082
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2005/11,November,2005,373,621,316
CLT,"Charlotte, NC: Charlotte Douglas International",2005/11,November,2005,361,345,631
DCA,"Washington, DC: Ronald Reagan Washington National",2005/11,November,2005,382,386,546
DEN,"Denver, CO: Denver International",2005/11,November,2005,692,590,576
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2005/11,November,2005,878,1324,1417
DTW,"Detroit, MI: Detroit Metro Wayne County",2005/11,November,2005,641,600,861
EWR,"Newark, NJ: Newark Liberty International",2005/11,November,2005,359,732,3562
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2005/11,November,2005,358,401,489
IAD,"Washington, DC: Washington Dulles International",2005/11,November,2005,261,307,435
IAH,"Houston, TX: George Bush Intercontinental/Houston",2005/11,November,2005,499,682,1332
JFK,"New York, NY: John F. Kennedy International",2005/11,November,2005,484,619,976
LAS,"Las Vegas, NV: McCarran International",2005/11,November,2005,658,876,670
LAX,"Los Angeles, CA: Los Angeles International",2005/11,November,2005,1011,881,907
LGA,"New York, NY: LaGuardia",2005/11,November,2005,380,507,2623
MCO,"Orlando, FL: Orlando International",2005/11,November,2005,547,601,714
MDW,"Chicago, IL: Chicago Midway International",2005/11,November,2005,272,483,307
MIA,"Miami, FL: Miami International",2005/11,November,2005,327,253,615
MSP,"Minneapolis, MN: Minneapolis-St Paul International",2005/11,November,2005,566,555,811
ORD,"Chicago, IL: Chicago O'Hare International",2005/11,November,2005,1096,1602,3646
PDX,"Portland, OR: Portland International",2005/11,November,2005,319,345,386
PHL,"Philadelphia, PA: Philadelphia International",2005/11,November,2005,346,453,816
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",2005/11,November,2005,581,701,449
SAN,"San Diego, CA: San Diego International",2005/11,November,2005,389,327,238
SEA,"Seattle, WA: Seattle/Tacoma International",2005/11,November,2005,599,570,851
SFO,"San Francisco, CA: San Francisco International",2005/11,November,2005,674,473,1284
SLC,"Salt Lake City, UT: Salt Lake City International",2005/11,November,2005,650,469,735
TPA,"Tampa, FL: Tampa International",2005/11,November,2005,336,406,419
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2005/12,December,2005,2144,2336,4898
BOS,"Boston, MA: Logan International",2005/12,December,2005,619,812,884
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2005/12,December,2005,544,811,430
CLT,"Charlotte, NC: Charlotte Douglas International",2005/12,December,2005,513,502,776
DCA,"Washington, DC: Ronald Reagan Washington National",2005/12,December,2005,534,506,597
DEN,"Denver, CO: Denver International",2005/12,December,2005,1623,1183,1333
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2005/12,December,2005,1119,2237,2271
DTW,"Detroit, MI: Detroit Metro Wayne County",2005/12,December,2005,928,817,1118
EWR,"Newark, NJ: Newark Liberty International",2005/12,December,2005,568,1312,3174
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2005/12,December,2005,623,592,804
IAD,"Washington, DC: Washington Dulles International",2005/12,December,2005,408,550,471
IAH,"Houston, TX: George Bush Intercontinental/Houston",2005/12,December,2005,703,1297,2118
JFK,"New York, NY: John F. Kennedy International",2005/12,December,2005,637,980,997
LAS,"Las Vegas, NV: McCarran International",2005/12,December,2005,1006,1513,1003
LAX,"Los Angeles, CA: Los Angeles International",2005/12,December,2005,1562,1487,1253
LGA,"New York, NY: LaGuardia",2005/12,December,2005,590,724,2132
MCO,"Orlando, FL: Orlando International",2005/12,December,2005,862,925,1087
MDW,"Chicago, IL: Chicago Midway International",2005/12,December,2005,393,695,584
MIA,"Miami, FL: Miami International",2005/12,December,2005,573,408,906
MSP,"Minneapolis, MN: Minneapolis-St Paul International",2005/12,December,2005,988,896,1213
ORD,"Chicago, IL: Chicago O'Hare International",2005/12,December,2005,1870,2586,4713
PDX,"Portland, OR: Portland International",2005/12,December,2005,548,562,353
PHL,"Philadelphia, PA: Philadelphia International",2005/12,December,2005,483,608,893
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",2005/12,December,2005,971,1204,784
SAN,"San Diego, CA: San Diego International",2005/12,December,2005,643,620,485
SEA,"Seattle, WA: Seattle/Tacoma International",2005/12,December,2005,969,928,857
SFO,"San Francisco, CA: San Francisco International",2005/12,December,2005,911,766,2505
SLC,"Salt Lake City, UT: Salt Lake City International",2005/12,December,2005,1022,840,584
TPA,"Tampa, FL: Tampa International",2005/12,December,2005,558,558,694
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2006/01,January,2006,1634,1506,4563
BOS,"Boston, MA: Logan International",2006/01,January,2006,531,629,1136
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2006/01,January,2006,372,631,352
CLT,"Charlotte, NC: Charlotte Douglas International",2006/01,January,2006,501,546,744
DCA,"Washington, DC: Ronald Reagan Washington National",2006/01,January,2006,430,398,569
DEN,"Denver, CO: Denver International",2006/01,January,2006,1155,909,816
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2006/01,January,2006,754,1454,1287
DTW,"Detroit, MI: Detroit Metro Wayne County",2006/01,January,2006,562,502,562
EWR,"Newark, NJ: Newark Liberty International",2006/01,January,2006,340,625,2796
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2006/01,January,2006,358,433,369
IAD,"Washington, DC: Washington Dulles International",2006/01,January,2006,439,577,395
IAH,"Houston, TX: George Bush Intercontinental/Houston",2006/01,January,2006,505,797,1340
JFK,"New York, NY: John F. Kennedy International",2006/01,January,2006,555,669,990
LAS,"Las Vegas, NV: McCarran International",2006/01,January,2006,778,1050,896
LAX,"Los Angeles, CA: Los Angeles International",2006/01,January,2006,1234,1010,1031
LGA,"New York, NY: LaGuardia",2006/01,January,2006,414,542,2217
MCO,"Orlando, FL: Orlando International",2006/01,January,2006,551,629,509
MDW,"Chicago, IL: Chicago Midway International",2006/01,January,2006,301,497,317
MIA,"Miami, FL: Miami International",2006/01,January,2006,347,339,526
MSP,"Minneapolis, MN: Minneapolis-St Paul International",2006/01,January,2006,595,401,558
ORD,"Chicago, IL: Chicago O'Hare International",2006/01,January,2006,1308,1849,3820
PDX,"Portland, OR: Portland International",2006/01,January,2006,346,326,300
PHL,"Philadelphia, PA: Philadelphia International",2006/01,January,2006,374,489,1386
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",2006/01,January,2006,815,972,644
SAN,"San Diego, CA: San Diego International",2006/01,January,2006,465,435,303
SEA,"Seattle, WA: Seattle/Tacoma International",2006/01,January,2006,654,728,795
SFO,"San Francisco, CA: San Francisco International",2006/01,January,2006,889,533,1205
SLC,"Salt Lake City, UT: Salt Lake City International",2006/01,January,2006,795,587,455
TPA,"Tampa, FL: Tampa International",2006/01,January,2006,368,450,348
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2006/02,Febuary,2006,1352,1427,4880
BOS,"Boston, MA: Logan International",2006/02,Febuary,2006,469,661,941
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2006/02,Febuary,2006,358,628,239
CLT,"Charlotte, NC: Charlotte Douglas International",2006/02,Febuary,2006,438,500,470
DCA,"Washington, DC: Ronald Reagan Washington National",2006/02,Febuary,2006,351,360,364
DEN,"Denver, CO: Denver International",2006/02,Febuary,2006,1147,1148,1423
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2006/02,Febuary,2006,824,1920,1824
DTW,"Detroit, MI: Detroit Metro Wayne County",2006/02,Febuary,2006,531,517,622
EWR,"Newark, NJ: Newark Liberty International",2006/02,Febuary,2006,323,708,2676
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2006/02,Febuary,2006,362,439,411
IAD,"Washington, DC: Washington Dulles International",2006/02,Febuary,2006,389,560,248
IAH,"Houston, TX: George Bush Intercontinental/Houston",2006/02,Febuary,2006,570,1023,2012
JFK,"New York, NY: John F. Kennedy International",2006/02,Febuary,2006,438,808,556
LAS,"Las Vegas, NV: McCarran International",2006/02,Febuary,2006,760,1318,1462
LAX,"Los Angeles, CA: Los Angeles International",2006/02,Febuary,2006,1158,1232,1543
LGA,"New York, NY: LaGuardia",2006/02,Febuary,2006,361,567,1827
MCO,"Orlando, FL: Orlando International",2006/02,Febuary,2006,520,651,639
MDW,"Chicago, IL: Chicago Midway International",2006/02,Febuary,2006,353,625,462
MIA,"Miami, FL: Miami International",2006/02,Febuary,2006,296,302,516
MSP,"Minneapolis, MN: Minneapolis-St Paul International",2006/02,Febuary,2006,587,485,627
ORD,"Chicago, IL: Chicago O'Hare International",2006/02,Febuary,2006,1239,1744,3396
PDX,"Portland, OR: Portland International",2006/02,Febuary,2006,303,415,318
PHL,"Philadelphia, PA: Philadelphia International",2006/02,Febuary,2006,438,554,748
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",2006/02,Febuary,2006,819,1124,1199
SAN,"San Diego, CA: San Diego International",2006/02,Febuary,2006,520,584,558
SEA,"Seattle, WA: Seattle/Tacoma International",2006/02,Febuary,2006,578,671,886
SFO,"San Francisco, CA: San Francisco International",2006/02,Febuary,2006,757,645,1573
SLC,"Salt Lake City, UT: Salt Lake City International",2006/02,Febuary,2006,789,626,675
TPA,"Tampa, FL: Tampa International",2006/02,Febuary,2006,379,477,445
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2006/03,March,2006,1516,1596,4458
BOS,"Boston, MA: Logan International",2006/03,March,2006,578,640,807
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2006/03,March,2006,427,669,281
CLT,"Charlotte, NC: Charlotte Douglas International",2006/03,March,2006,503,545,517
DCA,"Washington, DC: Ronald Reagan Washington National",2006/03,March,2006,424,453,471
DEN,"Denver, CO: Denver International",2006/03,March,2006,1331,1743,1369
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2006/03,March,2006,914,1980,1912
DTW,"Detroit, MI: Detroit Metro Wayne County",2006/03,March,2006,573,580,571
EWR,"Newark, NJ: Newark Liberty International",2006/03,March,2006,433,1063,3153
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2006/03,March,2006,323,396,291
IAD,"Washington, DC: Washington Dulles International",2006/03,March,2006,439,566,310
IAH,"Houston, TX: George Bush Intercontinental/Houston",2006/03,March,2006,696,1765,2383
JFK,"New York, NY: John F. Kennedy International",2006/03,March,2006,492,574,796
LAS,"Las Vegas, NV: McCarran International",2006/03,March,2006,937,1601,1517
LAX,"Los Angeles, CA: Los Angeles International",2006/03,March,2006,1534,1532,1738
LGA,"New York, NY: LaGuardia",2006/03,March,2006,483,630,1852
MCO,"Orlando, FL: Orlando International",2006/03,March,2006,517,667,395
MDW,"Chicago, IL: Chicago Midway International",2006/03,March,2006,357,657,418
MIA,"Miami, FL: Miami International",2006/03,March,2006,306,334,334
