Airport.Code,Airport.Name,Time.Label,Time.Month Name,Time.Year,Statistics.# of Delays.Carrier,Statistics.# of Delays.Late Aircraft,Statistics.# of Delays.National Aviation System
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2003/08,August,2003,279,396,489
IAD,"Washington, DC: Washington Dulles International",2003/08,August,2003,378,447,849
IAH,"Houston, TX: George Bush Intercontinental/Houston",2003/08,August,2003,425,587,1132
JFK,"New York, NY: John F. Kennedy International",2003/08,August,2003,403,380,856
LAS,"Las Vegas, NV: McCarran International",2003/08,August,2003,576,747,480
LAX,"Los Angeles, CA: Los Angeles International",2003/08,August,2003,796,761,622
LGA,"New York, NY: LaGuardia",2003/08,August,2003,419,500,1421
MCO,"Orlando, FL: Orlando International",2003/08,August,2003,450,584,757
MDW,"Chicago, IL: Chicago Midway International",2003/08,August,2003,205,446,414
MIA,"Miami, FL: Miami International",2003/08,August,2003,293,314,696
MSP,"Minneapolis, MN: Minneapolis-St Paul International",2003/08,August,2003,533,438,639
ORD,"Chicago, IL: Chicago O'Hare International",2003/08,August,2003,1017,1512,3461
PDX,"Portland, OR: Portland International",2003/08,August,2003,194,336,128
PHL,"Philadelphia, PA: Philadelphia International",2003/08,August,2003,442,695,1317
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",2003/08,August,2003,607,719,509
SAN,"San Diego, CA: San Diego International",2003/08,August,2003,375,382,256
SEA,"Seattle, WA: Seattle/Tacoma International",2003/08,August,2003,482,730,364
SFO,"San Francisco, CA: San Francisco International",2003/08,August,2003,517,385,869
SLC,"Salt Lake City, UT: Salt Lake City International",2003/08,August,2003,440,326,381
TPA,"Tampa, FL: Tampa International",2003/08,August,2003,265,350,450
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2003/09,September,2003,700,807,2267
BOS,"Boston, MA: Logan International",2003/09,September,2003,287,413,675
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2003/09,September,2003,238,289,358
CLT,"Charlotte, NC: Charlotte Douglas International",2003/09,September,2003,169,271,475
DCA,"Washington, DC: Ronald Reagan Washington National",2003/09,September,2003,231,161,470
DEN,"Denver, CO: Denver International",2003/09,September,2003,319,204,336
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2003/09,September,2003,654,751,1027
DTW,"Detroit, MI: Detroit Metro Wayne County",2003/09,September,2003,296,236,562
EWR,"Newark, NJ: Newark Liberty International",2003/09,September,2003,247,483,3818
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2003/09,September,2003,143,164,385
IAD,"Washington, DC: Washington Dulles International",2003/09,September,2003,221,241,470
IAH,"Houston, TX: George Bush Intercontinental/Houston",2003/09,September,2003,291,498,1094
JFK,"New York, NY: John F. Kennedy International",2003/09,September,2003,245,159,473
LAS,"Las Vegas, NV: McCarran International",2003/09,September,2003,374,445,370
LAX,"Los Angeles, CA: Los Angeles International",2003/09,September,2003,542,416,479
LGA,"New York, NY: LaGuardia",2003/09,September,2003,223,283,1099
MCO,"Orlando, FL: Orlando International",2003/09,September,2003,212,250,371
MDW,"Chicago, IL: Chicago Midway International",2003/09,September,2003,133,259,224
MIA,"Miami, FL: Miami International",2003/09,September,2003,156,125,479
MSP,"Minneapolis, MN: Minneapolis-St Paul International",2003/09,September,2003,317,228,755
ORD,"Chicago, IL: Chicago O'Hare International",2003/09,September,2003,573,892,3323
PDX,"Portland, OR: Portland International",2003/09,September,2003,133,142,144
PHL,"Philadelphia, PA: Philadelphia International",2003/09,September,2003,207,361,1198
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",2003/09,September,2003,369,404,347
SAN,"San Diego, CA: San Diego International",2003/09,September,2003,227,161,177
SEA,"Seattle, WA: Seattle/Tacoma International",2003/09,September,2003,292,308,352
SFO,"San Francisco, CA: San Francisco International",2003/09,September,2003,339,233,765
